;pharmacie;lien;adresse;coordonnee;telephone
944;Pharmacie Slaoui;https://www.telecontact.ma/annonceur/pharmacie-slaoui-/2173025/casablanca.php; 154, bd du Fouarat, hay Mohammadi;33.5754, -7.57029;05 22 62 62 45 
945;Pharmacie Smaali;https://www.telecontact.ma/annonceur/pharmacie-smaali-/3085481/casablanca.php; 63 Bis, rue de la Participation ;33.6011, -7.58266;05 22 40 73 19 
946;Pharmacie Smara;https://www.telecontact.ma/annonceur/pharmacie-smara-/1455600/casablanca.php; 43, avenue Ali Yata -ex Foum Lahsan, lotiss. smara;33.59405380233403, -7.558384448241767;05 22 61 83 24 
947;Pharmacie Smirès;https://www.telecontact.ma/annonceur/pharmacie-smir-s-/2184955/casablanca.php; 513, bd Smara, hay ElOsra II;33.53430027180929, -7.585601280513592;05 22 52 21 61 
948;Pharmacie Snoussi;https://www.telecontact.ma/annonceur/pharmacie-snoussi-/2204474/casablanca.php; lotiss. Elhouria, rue 1 n°10 Sidi Moumen;33.58510947248829, -7.523875276274907;05 22 71 24 67 
949;Pharmacie Socrate;https://www.telecontact.ma/annonceur/pharmacie-socrate-/3074767/casablanca.php; 93 Bis, rue Ibn Majat, lotiss Chantimar 2;33.5757, -7.65056;05 22 94 81 10 
950;Pharmacie Sophia;https://www.telecontact.ma/annonceur/pharmacie-sophia-/1626500/casablanca.php; 214, bd Ibn Sina - ex Avicenne ;33.573420301051, -7.6658390460412935;05 22 36 01 64 
951;Pharmacie Souad;https://www.telecontact.ma/annonceur/pharmacie-souad-/2216093/casablanca.php; cité Sidi Bernoussi, bloc 106, n°7 bis;33.6101369836346, -7.503816910265414;05 22 73 93 94 
952;Pharmacie Soufiane;https://www.telecontact.ma/annonceur/pharmacie-soufiane-/3053748/casablanca.php; hay El Oulfa, grp.K, rue 154 n°23/25;33.54932617778566, -7.6814228055679905;05 22 89 09 63 
953;Pharmacie Souktani;https://www.telecontact.ma/annonceur/pharmacie-souktani-/2143381/casablanca.php; 11, rue Moutanabbi -ex Roziers ;33.563963340, -7.647321960;05 22 29 61 10 
954;Pharmacie Soulaima;https://www.telecontact.ma/annonceur/pharmacie-soulaima-/2221940/casablanca.php; bd de Fès, résid. les Jardins de Californie 2;NO COORDINATES;05 22 21 98 94 
955;Pharmacie Soultana;https://www.telecontact.ma/annonceur/pharmacie-soultana-/3060686/casablanca.php;" bd Oued Drâa (El Oulfa), grp. ""Z"", rue 44 n°8 et 10";33.558218095564904, -7.684223368339531;05 22 93 29 64 
956;Pharmacie Sourzac;https://www.telecontact.ma/annonceur/pharmacie-sourzac-/0298900/casablanca.php; rue Augustin Sourzac ang. Zoubeir Ibnou El Aouame r.n;33.5988, -7.58045;05 22 24 33 40 
957;Pharmacie Stade Zaouli;https://www.telecontact.ma/annonceur/pharmacie-stade-zaouli-/3035585/casablanca.php; 5, avenue Khalid Bnou Loualid ;33.5993, -7.54508;05 22 67 30 67 
958;Pharmacie Station la Grande Ceinture;https://www.telecontact.ma/annonceur/pharmacie-station-la-grande-ceinture-/3308582/casablanca.php; bd de la Grande Ceinture (A.Sebaa) ;33.604937449165085, -7.54039272275395;05 22 34 43 41 
959;Pharmacie Sup'Anfa;https://www.telecontact.ma/annonceur/pharmacie-sup-anfa-/2206680/casablanca.php; bd Abdelhadi Boutaleb ex rte d'Azemmour, villa Imane, Anfa supérieure;33.5617, -7.71979;05 22 95 01 16 
960;Pharmacie Syrie;https://www.telecontact.ma/annonceur/pharmacie-syrie-/2222304/casablanca.php; 42, rue Amyot d'Inville, hay Arsalane;33.585, -7.57951;05 22 61 38 38 
961;Pharmacie Taddart;https://www.telecontact.ma/annonceur/pharmacie-taddart-/2153440/casablanca.php; 3 Bis, bd El Hachemi El Filali ;33.55665692251528, -7.624322895837187;05 22 28 21 67 
962;Pharmacie Tah;https://www.telecontact.ma/annonceur/pharmacie-tah-/3300809/casablanca.php; cité Aïn Chok, lotiss. Baraka 2 rue 58 n°13;NO COORDINATES;05 22 52 52 08 
963;Pharmacie Taha;https://www.telecontact.ma/annonceur/pharmacie-taha-/2204307/casablanca.php; lot. Lamia (bd Fouarat), bloc 22, n°18;33.574, -7.57356;05 22 62 92 92 
964;Pharmacie Taha Houssine;https://www.telecontact.ma/annonceur/pharmacie-taha-houssine-/3013185/casablanca.php; 13, avenue B (Drissia II) ;33.5632, -7.58964;05 22 85 22 25 
965;Pharmacie Tahria;https://www.telecontact.ma/annonceur/pharmacie-tahria-/3077745/casablanca.php; lot. Anassi 30 n°9 et 10;33.5869, -7.50148;05 22 75 65 65 
966;Pharmacie Taif;https://www.telecontact.ma/annonceur/pharmacie-taif-/2215081/casablanca.php; Hay Massira III , rue 5, n°17;33.56180317207155, -7.547797834655057;05 22 71 97 23 
967;Pharmacie Taj Al Madina;https://www.telecontact.ma/annonceur/pharmacie-taj-al-madina-/3299896/casablanca.php; cité Sidi Othmane, q. Al Madina Al jadida, Tranche C, imm.17 n°1;33.590083, -7.546382;05 22 55 05 16 
968;Pharmacie Tajmouati;https://www.telecontact.ma/annonceur/pharmacie-tajmouati-/2184146/casablanca.php; 242, bd Mohamed Zerktouni ;33.595352460, -7.637967360;05 22 22 71 91 
969;Pharmacie Tam;https://www.telecontact.ma/annonceur/pharmacie-tam-/1398500/casablanca.php; 302, bd Oued Sebou ;33.55296057533859, -7.6775420007705115;05 22 90 18 99 
970;Pharmacie Tamaarouft;https://www.telecontact.ma/annonceur/pharmacie-tamaarouft-/3171701/casablanca.php; 4, rue Tamaarouft -ex Alma ;33.5993, -7.63448;05 22 26 56 16 
971;Pharmacie Tarik;https://www.telecontact.ma/annonceur/pharmacie-tarik-/0885700/casablanca.php; 67, bd Abou Dar Ghafari-ex E ;33.60799619904841, -7.515180670468788;05 22 73 21 48 
972;Pharmacie Tarik AlWahda;https://www.telecontact.ma/annonceur/pharmacie-tarik-alwahda-/2126668/casablanca.php; 1, bd Tarik El Ouahda - ex Unité ;33.60984270274218, -7.543267870106247;05 22 35 91 63 
973;Pharmacie Tarik ElKheir;https://www.telecontact.ma/annonceur/pharmacie-tarik-elkheir-/2185953/casablanca.php; hay Tarik Elkheir (Al Qods) rue9 n°3/5;33.61058106038829, -7.493599104271523;05 22 75 33 52 
974;Pharmacie Tassnime;https://www.telecontact.ma/annonceur/pharmacie-tassnime-/3148678/casablanca.php; 1, lotiss. Al Moustakbal, Sidi Maârouf;NO COORDINATES;05 22 58 41 72 
975;Pharmacie Tawdi;https://www.telecontact.ma/annonceur/pharmacie-tawdi-/0299100/casablanca.php; 85, avenue Kheidar Ben Abdellah - ex C ;33.5696, -7.54954;05 22 70 41 68 
976;Pharmacie Tazi;https://www.telecontact.ma/annonceur/pharmacie-tazi-/3062746/casablanca.php; Hay Walâa n°5 , imm. 9, Tranche 17, sect. II;33.57324144076517, -7.519433474322568;05 22 71 23 06 
977;Pharmacie Tessema;https://www.telecontact.ma/annonceur/pharmacie-tessema-/3016351/casablanca.php; 168, avenue Joulan - ex D, Jamila 6 (cité Djemaâ);33.55549171033094, -7.572314100817639;05 22 55 69 69 
978;Pharmacie Thomas;https://www.telecontact.ma/annonceur/pharmacie-thomas-/3115846/casablanca.php; hay Sidi Moumen, résid. Dalia n°286;33.595507969610075, -7.511263465663205;05 22 34 16 43 
979;Pharmacie Tilila;https://www.telecontact.ma/annonceur/pharmacie-tilila-/3207331/casablanca.php; hay Laimoune, 47 HH Eloulfa;33.5440192516971, -7.663484528236381;05 22 93 86 84 
980;Pharmacie Tissir II;https://www.telecontact.ma/annonceur/pharmacie-tissir-ii-/2172971/casablanca.php; hay Tissir II, av A n°58;33.57337435165482, -7.578174818689135;05 22 62 67 01 
981;Pharmacie Tmime;https://www.telecontact.ma/annonceur/pharmacie-tmime-/3122052/casablanca.php; lotiss. Jet Sakane , imm. 41 n°1 rte 1100 Sidi Maârouf;33.51301207769927, -7.646458668138848;05 22 97 31 11 
982;Pharmacie Touati;https://www.telecontact.ma/annonceur/pharmacie-touati-/3311749/casablanca.php; zone ind. Lissasfa, Riad Sofia T2 n°223;33.517684, -7.677305;05 22 65 20 70 
983;Pharmacie Touba;https://www.telecontact.ma/annonceur/pharmacie-touba-/3057438/casablanca.php; quartier Aïn Borja, hay Narouik n°3, mosquée Taouba;33.584418995641535, -7.592089152117978;05 22 62 04 01 
984;Pharmacie Touria;https://www.telecontact.ma/annonceur/pharmacie-touria-/2153861/casablanca.php; 132, av Abou Hanifa Noaman ex A ;33.609246248804226, -7.497201912282435;05 22 74 05 70 
985;Pharmacie Tramway;https://www.telecontact.ma/annonceur/pharmacie-tramway-/3115946/casablanca.php; lotiss. Rahmani, rue 27 n°43;33.57733542734718, -7.52089259602667;05 22 70 64 66 
986;Pharmacie Univers;https://www.telecontact.ma/annonceur/pharmacie-univers-/3201227/casablanca.php; 10, bd Moulay Ismaïl ang. bd Emile Zola;33.5992, -7.57046;05 22 24 25 55 
987;Pharmacie Univers Santé;https://www.telecontact.ma/annonceur/pharmacie-univers-sant-/3002617/casablanca.php; 116, rue Haj Jillali Eloufir-ex Guillotte ;33.5781889571934, -7.64258393991416;05 22 98 09 06 
988;Pharmacie Universelle;https://www.telecontact.ma/annonceur/pharmacie-universelle-/0299300/casablanca.php; 398, bd Brahim Roudani ;33.580134000, -7.635197160;05 22 25 31 42 
989;Pharmacie Val d'Anfa;https://www.telecontact.ma/annonceur/pharmacie-val-d-anfa-/3270816/casablanca.php; 194, bd d' Anfa ;33.588016, -7.650102;05 22 36 43 48 
990;Pharmacie Val fleuri;https://www.telecontact.ma/annonceur/pharmacie-val-fleuri-/3006468/casablanca.php; 87, avenue Stendhal ;33.57476890191238, -7.6347047875905645;05 22 23 24 80 
991;Pharmacie Valencia;https://www.telecontact.ma/annonceur/pharmacie-valencia-/3305422/casablanca.php; quartier Ahl Loghlam, Salam 1, lot. 372;NO COORDINATES;05 22 74 38 79 
992;Pharmacie Velodrome;https://www.telecontact.ma/annonceur/pharmacie-velodrome-/2129871/casablanca.php; 16, Rd Pt des Sports ;33.5916, -7.64094;05 22 36 20 65 
993;Pharmacie Verdun;https://www.telecontact.ma/annonceur/pharmacie-verdun-/1454900/casablanca.php; 7, rue Abou Abdellah AlMahassibi -ex Lecouvreu ;33.5965, -7.62637;05 22 27 46 62 
994;Pharmacie Victoria;https://www.telecontact.ma/annonceur/pharmacie-victoria-/3118000/casablanca.php; 21, avenue de Nice ang. rue Ahmed Benbouchta;33.5983, -7.64958;05 22 39 14 66 
995;Pharmacie Vidal;https://www.telecontact.ma/annonceur/pharmacie-vidal-/3154393/casablanca.php; 404, bd de la Grande Ceinture (A.Sebaa) ;33.597415, -7.544906;05 22 34 32 18 
996;Pharmacie Vie;https://www.telecontact.ma/annonceur/pharmacie-vie-/2145729/casablanca.php; bd Ba Hmad ang. rue Berlioz;33.5906, -7.59074;05 22 40 59 01 
997;Pharmacie Violette;https://www.telecontact.ma/annonceur/pharmacie-violette-/3034025/casablanca.php; lotiss. Violette, 57 rue 2 n°51;33.54511908879825, -7.60491279341818;05 22 52 67 57 
998;Pharmacie Walili;https://www.telecontact.ma/annonceur/pharmacie-walili-/3098621/casablanca.php; 7, hay Alwalaa, sect. 3, SM 09;33.57522446201136, -7.51850736903998;05 22 72 53 61 
999;Pharmacie Wato;https://www.telecontact.ma/annonceur/pharmacie-wato-/1222900/casablanca.php; 153, bd Day Ould Sidi Baba -ex Watteau ;33.57453728425562, -7.630421982293961;05 22 25 16 07 
1000;Pharmacie Widad's;https://www.telecontact.ma/annonceur/pharmacie-widad-s-/3073718/casablanca.php; av. Habib Sinaceur -ex Assa et Nantes, lotiss. M'zouka n°27;33.6005, -7.66023;05 22 94 20 29 
1001;Pharmacie Wouroud Essaada;https://www.telecontact.ma/annonceur/pharmacie-wouroud-essaada-/3339489/casablanca.php; hay El Oulfa, résid. Essaada GH 1 mag.n° 11/12;NO COORDINATES;05 22 65 85 96 
1002;Pharmacie Yacoub Elmansour;https://www.telecontact.ma/annonceur/pharmacie-yacoub-elmansour-/0299500/casablanca.php; 63, bd Yacoub El Mansour ;33.575487974414806, -7.641967294281864;05 22 25 52 04 
1003;Pharmacie Yafa;https://www.telecontact.ma/annonceur/pharmacie-yafa-/2119155/casablanca.php; hay Moubaraka, q. Moubaraka imm.52;33.61464140286269, -7.499608545816891;05 22 73 94 44 
1004;Pharmacie Yakine;https://www.telecontact.ma/annonceur/pharmacie-yakine-/2195703/casablanca.php; 326, rue Ahmed Sebbagh, derb ElKabir;33.5771, -7.5924;05 22 81 66 60 
1005;Pharmacie Yana;https://www.telecontact.ma/annonceur/pharmacie-yana-/3339927/casablanca.php; 102, avenue du Cdt Driss Lharti - ex A, Al Baraka lot 605;NO COORDINATES;05 22 71 07 03 
1006;Pharmacie Yasmina;https://www.telecontact.ma/annonceur/pharmacie-yasmina-/1563300/casablanca.php; hay Moulay Abdallah, rue 232 n°69;33.5421290973938, -7.585297192163694;05 22 21 95 37 
1007;Pharmacie Yasmine;https://www.telecontact.ma/annonceur/pharmacie-yasmine-/1168600/casablanca.php; 207, bd Sidi Abderrahman ;33.597505530, -7.603234560;05 22 36 54 72 
1008;Pharmacie Yass;https://www.telecontact.ma/annonceur/pharmacie-yass-/3331437/casablanca.php; lotiss. Jnane Louz, unité 1 terrain 4 mag.2 projet Ouled Azzouz;33.53329111463799, -7.702877052305666;05 40 15 09 05 
1009;Pharmacie Yasser;https://www.telecontact.ma/annonceur/pharmacie-yasser-/2216476/casablanca.php; derb Sidi Maarouf VI (Al Fida), rue 4 n°14;33.561235496270925, -7.602834417991644;05 22 83 01 39 
1010;Pharmacie Yassine;https://www.telecontact.ma/annonceur/pharmacie-yassine-/2155398/casablanca.php; 19, rue de Lille ;33.591742352294816, -7.602086894674173;05 22 44 37 87 
1011;Pharmacie Yathrib;https://www.telecontact.ma/annonceur/pharmacie-yathrib-/3158504/casablanca.php; lotiss. Al Moustakbal, Gh 4, n°24 Sidi Maârouf;33.52512222222, -7.650805555556;05 22 97 25 73 
1012;Pharmacie Youness;https://www.telecontact.ma/annonceur/pharmacie-youness-/3196156/casablanca.php; 18, avenue Ali Yata -ex Foum Lahsan, résid. Alhadika;33.601344552270724, -7.532993530045834;05 22 35 75 27 
1013;Pharmacie Yousra;https://www.telecontact.ma/annonceur/pharmacie-yousra-/2110273/casablanca.php; avenue Mehdi Ben Berka -ex Cimetière, Kiss. El Hank n°8;33.6018, -7.64317;05 22 36 36 30 
1014;Pharmacie Zahra;https://www.telecontact.ma/annonceur/pharmacie-zahra-/2157863/casablanca.php; bloc commune , n°2, Sidi Maârouf Ouled Haddou;33.50984568415466, -7.65710287374111;05 22 32 12 74 
1015;Pharmacie Zaitoun;https://www.telecontact.ma/annonceur/pharmacie-zaitoun-/3031161/casablanca.php; 16, avenue Jaudar Mohamed Ben Abdellah ;33.571178, -7.534649;05 22 72 72 70 
1016;Pharmacie Zamzam;https://www.telecontact.ma/annonceur/pharmacie-zamzam-/3097186/casablanca.php; lotiss. Lina, H2 lot. Hammam, Sidi Maârouf;33.51959049953528, -7.651151394625913;05 22 58 01 98 
1017;Pharmacie Zaouia;https://www.telecontact.ma/annonceur/pharmacie-zaouia-/2110169/casablanca.php; 121, rue El Maaden -ex Fragonard ;33.576516000, -7.627767480;05 22 23 79 51 
1018;Pharmacie Zaraba;https://www.telecontact.ma/annonceur/pharmacie-zaraba-/3174170/casablanca.php; hay Sidi Moumen, El Outtour rue 8 n°43;33.594241177285234, -7.505078291674863;05 22 72 21 94 
1019;Pharmacie Zenith Millenium;https://www.telecontact.ma/annonceur/pharmacie-zenith-millenium-/3058503/casablanca.php; 162, lotiss. Florida , California;33.53767079179112, -7.644218093670588;05 22 32 15 16 
1020;Pharmacie Zerhouni;https://www.telecontact.ma/annonceur/pharmacie-zerhouni-/3229045/casablanca.php; lotiss. Riad El Oulfa, grp. 13 n°373;33.55453888889, -7.699833333333;05 22 90 50 11 
1021;Pharmacie Zerktouni;https://www.telecontact.ma/annonceur/pharmacie-zerktouni-/0299900/casablanca.php; 252, bd Moukaouama - ex Résistance ;33.58352754668546, -7.612777292691629;05 22 22 22 82 
1022;Pharmacie Zeroual;https://www.telecontact.ma/annonceur/pharmacie-zeroual-/3294696/casablanca.php; lot. Anassi, Bab Anassi II entree n°8 Gh6 n°74;33.59237317446611, -7.496215810416061;05 22 75 32 64 
1023;Pharmacie Zhour;https://www.telecontact.ma/annonceur/pharmacie-zhour-/3275623/casablanca.php; hay El Oulfa, q. Farah Salam Gh 82, imm. 130A, n°1;33.53819384530368, -7.696091604854928;05 22 90 91 66 
1024;Pharmacie Ziraoui;https://www.telecontact.ma/annonceur/pharmacie-ziraoui-/0300000/casablanca.php; 215, bd Ziraoui ;33.5952, -7.63248;05 22 29 56 63 
1025;Pharmacie Zone Industrielle;https://www.telecontact.ma/annonceur/pharmacie-zone-industrielle-/3112854/casablanca.php; avenue Abdelkader Essahraoui, Mly Rachid grp.6 rue 26 n°1;33.563, -7.53266;05 22 70 91 90 
1026;Pharmacie Zoraiai;https://www.telecontact.ma/annonceur/pharmacie-zoraiai-/3053989/casablanca.php; quartier Lissasfa II (route d'El Jadida), bloc D n° 250;33.52927698862633, -7.673462345771782;05 22 65 10 74 
1027;Pharmacie Zoubir;https://www.telecontact.ma/annonceur/pharmacie-zoubir-/3053807/casablanca.php; 185 I, lotiss. Zoubeir, imm.6 grp. Doha;33.541970000, -7.683322000;05 22 93 41 90 
1028;Pharmacie Zouhair;https://www.telecontact.ma/annonceur/pharmacie-zouhair-/3034012/casablanca.php; bd Oulad Haddou, rue 30 n°39 bis Lakrimat;33.5974, -7.62046;05 22 50 60 26 
1029;Pharmacie Zyma;https://www.telecontact.ma/annonceur/pharmacie-zyma-/2185664/casablanca.php; 27, rue Ahmed Kadmiri -ex Albert Samain ;33.56967503133402, -7.640462241605952;05 22 99 43 95 
1030;Pharmacie Zénata;https://www.telecontact.ma/annonceur/pharmacie-z-nata-/1625500/casablanca.php; 178, route Zenata ;33.61904491915792, -7.53919638823683;05 22 35 11 72 
1031;Pharmacie av. Med. Bouziane;https://www.telecontact.ma/annonceur/pharmacie-av-med-bouziane-/3112778/casablanca.php; 752, avenue Mohamed Bouziane, hay ElBaraka;33.5728, -7.53814;05 22 70 15 37 
1032;Pharmacie bassatine;https://www.telecontact.ma/annonceur/pharmacie-bassatine-/3012913/casablanca.php; 158, avenue Abdelkader Essahraoui, massira III.;33.563, -7.53266;05 22 71 83 41 
1033;Pharmacie bd Mohamed VI;https://www.telecontact.ma/annonceur/pharmacie-bd-mohamed-vi-/2179519/casablanca.php; hay Moulay Abdallah, rue 286 n°37, bd. ElKhalil;33.54882545104691, -7.587287997981321;05 22 50 49 36 
1034;Pharmacie carrière Ben M'Sik;https://www.telecontact.ma/annonceur/pharmacie-carri-re-ben-m-sik-/0284200/casablanca.php; hay Omar Ibn Khattab, rue 7 n°31;33.565192367911905, -7.584080961251857;05 22 81 50 46 
1035;Pharmacie carrières centrales;https://www.telecontact.ma/annonceur/pharmacie-carri-res-centrales-/3031389/casablanca.php; avenue Chaouki Jilali Meskini ex Lhoucin B.A Toto, Projet Hassan II imm. 12 n°14;33.58734614422485, -7.555489007348056;05 22 63 61 58 
1036;Pharmacie croix du sud;https://www.telecontact.ma/annonceur/pharmacie-croix-du-sud-/0285800/casablanca.php; 62, rue Mohamed Sedki ;33.593619307701985, -7.634773219295457;05 22 27 75 34 
1037;Pharmacie d'Anfa;https://www.telecontact.ma/annonceur/pharmacie-d-anfa-/0282000/casablanca.php; 75, place Oued Makhazine ;33.5953, -7.62494;05 22 27 38 49 
1038;Pharmacie d'Aïn Sebâa;https://www.telecontact.ma/annonceur/pharmacie-d-aon-seb-a-/0280800/casablanca.php; 15, place Tizi Ousli - ex République ;33.60606673396911, -7.539304961454088;05 22 35 03 62 
1039;Pharmacie dar Najme;https://www.telecontact.ma/annonceur/pharmacie-dar-najme-/3057200/casablanca.php; rue Hassane (hay El Hana), lotiss. Sofia 2 n°7;33.5762, -7.66212;05 22 95 15 37 
1040;Pharmacie de Bordeaux;https://www.telecontact.ma/annonceur/pharmacie-de-bordeaux-/0283500/casablanca.php; 164, bd de Bordeaux ;33.598, -7.6295;05 22 27 75 21 
1041;Pharmacie de Bourgogne;https://www.telecontact.ma/annonceur/pharmacie-de-bourgogne-/0283700/casablanca.php; 341, bd Mohamed Zerktouni ;33.59652343157106, -7.638365640811912;05 22 27 73 44 
1042;Pharmacie de Casablanca;https://www.telecontact.ma/annonceur/pharmacie-de-casablanca-/0284300/casablanca.php; 160, bd El Mahata -ex La Croix ;33.609090870, -7.525446840;05 22 80 09 70 
1043;Pharmacie de France;https://www.telecontact.ma/annonceur/pharmacie-de-france-/0289400/casablanca.php; 152, bd Mohammed V ;33.59421569758903, -7.611288425709061;05 22 22 19 48 
1044;Pharmacie de L'Opéra;https://www.telecontact.ma/annonceur/pharmacie-de-l-op-ra-/2109978/casablanca.php; 82, rue Mohamed Bahi -ex Meissonnier ;33.5797, -7.63519;05 22 23 11 72 
1045;Pharmacie de Lorraine;https://www.telecontact.ma/annonceur/pharmacie-de-lorraine-/0292500/casablanca.php; 52, bd Rahal El Meskini ;33.5876, -7.61445;05 22 26 35 40 
1046;Pharmacie de Picardie;https://www.telecontact.ma/annonceur/pharmacie-de-picardie-/0296600/casablanca.php; 12, rue Badr Assayab -ex Picardie ;33.5886, -7.63001;05 22 26 79 23 
1047;Pharmacie de l'Atlantique;https://www.telecontact.ma/annonceur/pharmacie-de-l-atlantique-/0282400/casablanca.php; 512, bd Mohamed Zerktouni ;33.595973460, -7.638135480;05 22 26 74 10 
1048;Pharmacie de l'Atlas;https://www.telecontact.ma/annonceur/pharmacie-de-l-atlas-/0282500/casablanca.php; 41, bd Moulay Idriss 1er ;33.576, -7.60952;05 22 30 79 18 
1049;Pharmacie de l'Avenir;https://www.telecontact.ma/annonceur/pharmacie-de-l-avenir-/0282600/casablanca.php; 100, rue Mohamed Meknassi-ex Langalerie ;33.60012518643755, -7.6406978406647585;05 22 27 22 31 
1050;Pharmacie de l'Aéroport d'Anfa;https://www.telecontact.ma/annonceur/pharmacie-de-l-a-roport-d-anfa-/2114438/casablanca.php; 72 Bis, bd Sidi Abderrahman ;33.597505530, -7.603234560;05 22 39 06 36 
1051;Pharmacie de l'Esperance;https://www.telecontact.ma/annonceur/pharmacie-de-l-esperance-/2220771/casablanca.php; bd Chefchaouni, résid. Palmier imm. A mag. 5;33.6117, -7.53087;05 22 66 61 99 
1052;Pharmacie de l'Hôpital;https://www.telecontact.ma/annonceur/pharmacie-de-l-h-pital-/0290900/casablanca.php; 22, bd Mohamed Zerktouni ;33.583085370, -7.622442720;05 22 27 39 39 
1053;Pharmacie de l'Hôpital Ibnou Rochd;https://www.telecontact.ma/annonceur/pharmacie-de-l-h-pital-ibnou-rochd-/3275150/casablanca.php; 11, rue Grasset ;33.580845693197446, -7.622610606430499;05 22 49 20 20 
1054;Pharmacie de l'Industrie;https://www.telecontact.ma/annonceur/pharmacie-de-l-industrie-/2185338/casablanca.php; bd Chefchaouni, km 11,5;33.60787060981081, -7.535674338053828;05 22 35 22 25 
1055;Pharmacie de l'Oasis;https://www.telecontact.ma/annonceur/pharmacie-de-l-oasis-/0295300/casablanca.php; 64, bd Abderrahim Bouabid -ex Jerrada ;33.556067190, -7.632482040;05 22 25 39 74 
1056;Pharmacie de l'Orient;https://www.telecontact.ma/annonceur/pharmacie-de-l-orient-/0295500/casablanca.php; 213, bd Yacoub El Mansour ;33.567463440, -7.655712120;05 22 36 75 51 
1057;Pharmacie de l'Union;https://www.telecontact.ma/annonceur/pharmacie-de-l-union-/0299200/casablanca.php; 6, bd Abdellah Senhaji - ex C, lotiss. Amal;33.5566, -7.58768;05 22 28 86 77 
1058;Pharmacie de l'hôpital Med V;https://www.telecontact.ma/annonceur/pharmacie-de-l-h-pital-med-v-/2153879/casablanca.php; 62, bd de la Grande Ceinture (h.Mohammadi) lot Almouahidine, rue 8;33.599333970, -7.624677600;05 22 35 72 90 
1059;Pharmacie de l'étoile;https://www.telecontact.ma/annonceur/pharmacie-de-l-toile-/0288500/casablanca.php; hay Omar Ibn Khattab, rue 29 n°82;33.56828481255649, -7.579325779731789;05 22 81 52 19 
1060;Pharmacie de la Bourse;https://www.telecontact.ma/annonceur/pharmacie-de-la-bourse-/0283900/casablanca.php; 117, bd Mohammed V ;33.59379120013917, -7.613184264740191;05 22 31 06 81 
1061;Pharmacie de la Chaouia;https://www.telecontact.ma/annonceur/pharmacie-de-la-chaouia-/0284700/casablanca.php; 416, bd de Goulmima ;33.6002, -7.62987;05 22 27 79 95 
1062;Pharmacie de la Découverte;https://www.telecontact.ma/annonceur/pharmacie-de-la-d-couverte-/3037752/casablanca.php; 7, lotiss. Al Moustakbal, rte 1029 Sidi Maârouf;33.52786944444, -7.649361111111;05 22 97 32 23 
1063;Pharmacie de la Fraternité;https://www.telecontact.ma/annonceur/pharmacie-de-la-fraternit-/2110253/casablanca.php; 88, bd Abdellah Senhaji - ex C ;33.5704, -7.59318;05 22 29 13 30 
1064;Pharmacie de la Gare AinSebaa;https://www.telecontact.ma/annonceur/pharmacie-de-la-gare-ainsebaa-/3319831/casablanca.php; route de Rabat (r.p. 1), Daris Km 9;NO COORDINATES;05 22 73 79 08 
1065;Pharmacie de la Gironde;https://www.telecontact.ma/annonceur/pharmacie-de-la-gironde-/0289900/casablanca.php; bd de la Gironde ang. rue Ifni;33.58369680047197, -7.5994517510931745;05 22 30 06 19 
1066;Pharmacie de la Mosquée;https://www.telecontact.ma/annonceur/pharmacie-de-la-mosqu-e-/0294400/casablanca.php; 76, rue de l' Atlas (Mâarif) ;33.5851, -7.63493;05 22 98 42 73 
1067;Pharmacie de la Plage;https://www.telecontact.ma/annonceur/pharmacie-de-la-plage-/0296700/casablanca.php; 46, bd Haj Ahmed Mekouar -ex C.Caillat ;33.61741821915163, -7.542224123448118;05 22 35 13 93 
1068;Pharmacie de la Préfecture;https://www.telecontact.ma/annonceur/pharmacie-de-la-pr-fecture-/1626100/casablanca.php; bd du Nil, bloc 33 n°23;33.5562, -7.57252;05 22 37 14 02 
1069;Pharmacie de la Renaissance;https://www.telecontact.ma/annonceur/pharmacie-de-la-renaissance-/0297600/casablanca.php; 101, rue de l' Imam El Castalani ;33.578061155247006, -7.60797896263365;05 22 30 53 85 
1070;Pharmacie de la Santé;https://www.telecontact.ma/annonceur/pharmacie-de-la-sant-/3077077/casablanca.php; hay Sidi Moumen, Lot Attacharouk imm.8 n°2 tranche 7;33.57471190152375, -7.519068693896543;05 22 71 73 25 
1071;Pharmacie de la Sécurité;https://www.telecontact.ma/annonceur/pharmacie-de-la-s-curit-/1796100/casablanca.php; 130, bd Moulay Idriss 1er ;33.572081610, -7.625476440;05 22 86 22 45 
1072;Pharmacie de la Wilaya;https://www.telecontact.ma/annonceur/pharmacie-de-la-wilaya-/2110302/casablanca.php; 222, bd Oued Moulouya ;33.55083306154404, -7.6793778157076416;05 22 90 51 13 
1073;Pharmacie de la cité Mohammadia;https://www.telecontact.ma/annonceur/pharmacie-de-la-cit-mohammadia-/0285100/casablanca.php; 54, rue Chaffaï Najem ;33.5937, -7.56738;05 22 62 30 29 
1074;Pharmacie de la colline;https://www.telecontact.ma/annonceur/pharmacie-de-la-colline-/2209543/casablanca.php; rte 1029 , c.com. carrefour Sidi Maârouf;33.53571390314649, -7.642407729797355;05 22 33 51 77 
1075;Pharmacie de la commune;https://www.telecontact.ma/annonceur/pharmacie-de-la-commune-/3033076/casablanca.php; 3, bd Zagora ;33.554723028858035, -7.5965690391049066;05 22 52 71 71 
